Disease,"Disease.keyword",ExtractedDate,ExtractedDateTime,Incident,"Incident.keyword","Incident_Type","Incident_Type.keyword","Incident_type","Incident_type.keyword",Language,"Language.keyword",Location,"Location.keyword",MLPipelineVersion,"MLPipelineVersion.keyword",Number,OriginalArticle,"OriginalArticle.keyword",Score,Source,"Source.keyword",Start,TranslatedArticle,"TranslatedArticle.keyword",Url,"Url.keyword","_id","_index","_score","_type"
Filariasis,Filariasis,"Mar 5, 2023 @ 00:00:00.000","Mar 5, 2023 @ 08:39:22.000",case,case,total,total,"-","-",hi,hi,UNKNOWN,UNKNOWN,"v1.0.2","v1.0.2","6,615","6615 patients of filariasis in the district  158 patients got the benefit of operation - जिले में फाइलेरिया के 6615 रोगी, 158 रोगी को मिला ऑपरेशन का लाभ . पूर्णिया, हिन्दुस्तान संवाददाता। जिले में फाइलेरिया के 6615 रोगी हैं। इन रोगियों में...","6615 patients of filariasis in the district  158 patients got the benefit of operation - जिले में फाइलेरिया के 6615 रोगी, 158 रोगी को मिला ऑपरेशन का लाभ . पूर्णिया, हिन्दुस्तान संवाददाता। जिले में फाइलेरिया के 6615 रोगी हैं। इन रोगियों में...","0.555",galerts,galerts,0,"6615 patients of filariasis in the district 158 patients got the benefit of operation. The district has 6615 patients of Filariasis. In these patients...","6615 patients of filariasis in the district 158 patients got the benefit of operation. The district has 6615 patients of Filariasis. In these patients...","https://www.livehindustan.com/bihar/purnia/story-6615-patients-of-filariasis-in-the-district-158-patients-got-the-benefit-of-operation-7856994.html","https://www.livehindustan.com/bihar/purnia/story-6615-patients-of-filariasis-in-the-district-158-patients-got-the-benefit-of-operation-7856994.html",PMb0r4YBjuOAFaZ2lZ9A,"raw_event_data_index","-","-"
Filariasis,Filariasis,"Feb 25, 2023 @ 00:00:00.000","Feb 25, 2023 @ 09:17:13.000",case,case,new,new,"-","-",hi,hi,Bhagalpur,Bhagalpur,"v1.0.2","v1.0.2",23,"Children made aware about filariasis - बच्चों को फाइलेरिया के प्रति किया जागरूक . भागलपुर,वरीय संवाददाता। 23 बिहार बटालियन एनसीसी भागलपुर के एनसीसी कैडेटों ने शुक्रवार को फाइलेरिया...","Children made aware about filariasis - बच्चों को फाइलेरिया के प्रति किया जागरूक . भागलपुर,वरीय संवाददाता। 23 बिहार बटालियन एनसीसी भागलपुर के एनसीसी कैडेटों ने शुक्रवार को फाइलेरिया...","0.492",galerts,galerts,70,"Children made aware about filariasis: Bhagalpur, Senior Correspondent 23 Bihar Battalion NCC Bhagalpur NCC cadets tested positive for Filariasis on Friday.","Children made aware about filariasis: Bhagalpur, Senior Correspondent 23 Bihar Battalion NCC Bhagalpur NCC cadets tested positive for Filariasis on Friday.","https://www.livehindustan.com/bihar/bhagalpur/story-children-made-aware-about-filariasis-7819315.html","https://www.livehindustan.com/bihar/bhagalpur/story-children-made-aware-about-filariasis-7819315.html",28bIhoYBjuOAFaZ2IH7y,"raw_event_data_index","-","-"
Filariasis,Filariasis,"Feb 23, 2023 @ 00:00:00.000","Feb 23, 2023 @ 13:35:04.000",case,case,total,total,"-","-",hi,hi,Jabalpur,Jabalpur,"v1.0.2","v1.0.2",27,"Filariasis : कटनी व पन्ना ने बढ़ाई जबलपुर की चिंता 27 से खोजे जाएंगे हाथी पांव के मरीज - Katni and Panna increase Jabalpurs concern elephant foot patients will be searched from 27 | Filariasis : क्यूलेक्स मच्छरों के काटने से होती है यह बीमारी संक्रमण के बाद छह से आठ साल बाद भी सामने आ सकते हैं","Filariasis : कटनी व पन्ना ने बढ़ाई जबलपुर की चिंता 27 से खोजे जाएंगे हाथी पांव के मरीज - Katni and Panna increase Jabalpurs concern elephant foot patients will be searched from 27 | Filariasis : क्यूलेक्स मच्छरों के काटने से होती है यह बीमारी संक्रमण के बाद छह से आठ साल बाद भी सामने आ सकते हैं","0.614","cc_news","cc_news",97,"Filariasis: Katni and Panna increase Jabalpur's concern left foot patients will be searched from 27.","Filariasis: Katni and Panna increase Jabalpur's concern left foot patients will be searched from 27.","https://www.naidunia.com/madhya-pradesh/jabalpur-katni-and-panna-increase-jabalpurs-concern-elephant-foot-patients-will-be-searched-from27-8019807","https://www.naidunia.com/madhya-pradesh/jabalpur-katni-and-panna-increase-jabalpurs-concern-elephant-foot-patients-will-be-searched-from27-8019807",4sZ3fYYBjuOAFaZ283WV,"raw_event_data_index","-","-"
elephantiasis,elephantiasis,"Feb 15, 2023 @ 00:00:00.000","Feb 15, 2023 @ 16:35:12.000",case,case,new,new,"-","-",gu,gu,Rajkot,Rajkot,"v1.0.2","v1.0.2",90,"રાજકોટ મનપાના ચોપડે 2007 બાદ હાથીપગાના 0 કેસ દાખલ, છતાં 910 શ્રમિકોના બ્લડ સેમ્પલ લેવાયા | Rajkot Municipal Corporation registers 0 cases of elephantiasis after 2007, yet blood samples of 910 workers are taken - Divya Bhaskar . રાજકોટ શહેરમાં મચ્છરોના ઉપદ્રવને ઘટાડવા માટે સતત દોડતા રહેતા મનપાના આરોગ્ય વિભાગના ચોપડે 2007 બાદ (ફાઇલેરીયાસીસ એટલે કે હાથી પગાના એક પણ દર્દીઓ નોંધાયા નથી. 2007માં માત્ર 13 દર્દીઓ દાખલ થયા હતા ત્યારે આ મામલે મનપાનો એવો દાવો છે કે રાજકોટ શહેરમાંથી સંપૂર્ણપણે હાથીપગાનો રોગ નાબૂદ થઈ ગયો છે છતાં પણ મનપાની આરોગ્ય શાખા દ્વારા શહેરના વિવિધ વિસ્તારોમાં બાંધકામ સાઈટમાં કામ કરતા 910 જેટલા શ્રમિકોના બ્લડ સે... | Rajkot Municipal Corporation registers 0 cases of elephantiasis after 2007, yet blood samples of 910 workers are taken","રાજકોટ મનપાના ચોપડે 2007 બાદ હાથીપગાના 0 કેસ દાખલ, છતાં 910 શ્રમિકોના બ્લડ સેમ્પલ લેવાયા | Rajkot Municipal Corporation registers 0 cases of elephantiasis after 2007, yet blood samples of 910 workers are taken - Divya Bhaskar . રાજકોટ શહેરમાં મચ્છરોના ઉપદ્રવને ઘટાડવા માટે સતત દોડતા રહેતા મનપાના આરોગ્ય વિભાગના ચોપડે 2007 બાદ (ફાઇલેરીયાસીસ એટલે કે હાથી પગાના એક પણ દર્દીઓ નોંધાયા નથી. 2007માં માત્ર 13 દર્દીઓ દાખલ થયા હતા ત્યારે આ મામલે મનપાનો એવો દાવો છે કે રાજકોટ શહેરમાંથી સંપૂર્ણપણે હાથીપગાનો રોગ નાબૂદ થઈ ગયો છે છતાં પણ મનપાની આરોગ્ય શાખા દ્વારા શહેરના વિવિધ વિસ્તારોમાં બાંધકામ સાઈટમાં કામ કરતા 910 જેટલા શ્રમિકોના બ્લડ સે... | Rajkot Municipal Corporation registers 0 cases of elephantiasis after 2007, yet blood samples of 910 workers are taken","0.608","cc_news","cc_news",39,"Rajkot Municipal Corporation registers 90 cases of Elephantiasis after 2007, yet blood samples of 910 workers are taken - Divya Bhaskar Not a single case of Filariasis has been reported since 2007 in the health department of the Rajkot Municipal Corporation (RMC). In 2007, when only 13 patients were admitted, the Rajkot Municipal Corporation claimed that despite the complete eradication of the disease, blood samples of 910 workers working at construction sites in various parts of the city were taken by the health wing of the civic body","Rajkot Municipal Corporation registers 90 cases of Elephantiasis after 2007, yet blood samples of 910 workers are taken - Divya Bhaskar Not a single case of Filariasis has been reported since 2007 in the health department of the Rajkot Municipal Corporation (RMC). In 2007, when only 13 patients were admitted, the Rajkot Municipal Corporation claimed that despite the complete eradication of the disease, blood samples of 910 workers working at construction sites in various parts of the city were taken by the health wing of the civic body","https://www.divyabhaskar.co.in/local/gujarat/rajkot/news/rajkot-municipal-corporation-registers-0-cases-of-elephantiasis-after-2007-yet-blood-samples-of-910-workers-are-taken-130928471.html","https://www.divyabhaskar.co.in/local/gujarat/rajkot/news/rajkot-municipal-corporation-registers-0-cases-of-elephantiasis-after-2007-yet-blood-samples-of-910-workers-are-taken-130928471.html",d8UPVYYBjuOAFaZ25bPV,"raw_event_data_index","-","-"
elephantiasis,elephantiasis,"Feb 14, 2023 @ 00:00:00.000","Feb 14, 2023 @ 14:35:04.000",case,case,new,new,"-","-",gu,gu,Ahmedabad,Ahmedabad,"v1.0.2","v1.0.2",4,"અમદાવાદમાં પરપ્રાંતીય લોકોમાં હાથીપગાના કેસો જોવા મળ્યા, રોડ પર મસી જંતુનો ત્રાસ વધતા ફોગિંગ કરવા સૂચના | In Ahmedabad, cases of elephantiasis were seen among the migrants, notice to fogging the roads due to the pestilence of insects. - Divya Bhaskar . અમદાવાદના પૂર્વ વિસ્તારમાં પરપ્રાંતીય લોકોમાં હાથીપગાના કેસો જોવા મળ્યા છે. અમદાવાદ મ્યુનિસિપલ કોર્પોરેશન (AMC)ના આરોગ્ય વિભાગની ટીમ દ્વારા રામોલ, વટવા, નોબલનગર, બાપુનગર, ઈન્દ્રપુરી જેવા વિસ્તારમાં ચેકિંગ કરીને ટેસ્ટ કરતાં 4 જેટલા કેસો મળી આવ્યા છે. કુલ 3600 જેટલા ટેસ્ટ કરવામાં આવ્યા હતા. | In Ahmedabad, cases of elephantiasis were seen among the migrants, notice to fogging the roads due to the pestilence of insects.","અમદાવાદમાં પરપ્રાંતીય લોકોમાં હાથીપગાના કેસો જોવા મળ્યા, રોડ પર મસી જંતુનો ત્રાસ વધતા ફોગિંગ કરવા સૂચના | In Ahmedabad, cases of elephantiasis were seen among the migrants, notice to fogging the roads due to the pestilence of insects. - Divya Bhaskar . અમદાવાદના પૂર્વ વિસ્તારમાં પરપ્રાંતીય લોકોમાં હાથીપગાના કેસો જોવા મળ્યા છે. અમદાવાદ મ્યુનિસિપલ કોર્પોરેશન (AMC)ના આરોગ્ય વિભાગની ટીમ દ્વારા રામોલ, વટવા, નોબલનગર, બાપુનગર, ઈન્દ્રપુરી જેવા વિસ્તારમાં ચેકિંગ કરીને ટેસ્ટ કરતાં 4 જેટલા કેસો મળી આવ્યા છે. કુલ 3600 જેટલા ટેસ્ટ કરવામાં આવ્યા હતા. | In Ahmedabad, cases of elephantiasis were seen among the migrants, notice to fogging the roads due to the pestilence of insects.","0.752","cc_news","cc_news",347,"In Ahmedabad, cases of Elephantiasis were seen among the migrants, notice to forge the roads due to the menace of insects Divya Bhaskar. Migrant cases have been reported from the eastern part of Ahmedabad. Ahmedabad Municipal Corporation (AMC) health department team has conducted tests in Ramol, Vatva, Nobalnagar, Bapunagar, Indrapuri and found 4 positive cases. A total of 3600 tests were conducted. In Ahmedabad, cases of Elephantiasis were seen among the migrants, notice to fogging the roads due to the persistence of infections.","In Ahmedabad, cases of Elephantiasis were seen among the migrants, notice to forge the roads due to the menace of insects Divya Bhaskar. Migrant cases have been reported from the eastern part of Ahmedabad. Ahmedabad Municipal Corporation (AMC) health department team has conducted tests in Ramol, Vatva, Nobalnagar, Bapunagar, Indrapuri and found 4 positive cases. A total of 3600 tests were conducted. In Ahmedabad, cases of Elephantiasis were seen among the migrants, notice to fogging the roads due to the persistence of infections.","https://www.divyabhaskar.co.in/local/gujarat/ahmedabad/news/in-ahmedabad-cases-of-elephantiasis-were-seen-among-the-migrants-notice-to-fogging-the-roads-due-to-the-pestilence-of-insects-130924077.html","https://www.divyabhaskar.co.in/local/gujarat/ahmedabad/news/in-ahmedabad-cases-of-elephantiasis-were-seen-among-the-migrants-notice-to-fogging-the-roads-due-to-the-pestilence-of-insects-130924077.html",u8WUT4YBjuOAFaZ2oa5G,"raw_event_data_index","-","-"
"elephant fever","elephant fever","Feb 13, 2023 @ 00:00:00.000","Feb 13, 2023 @ 22:35:04.000",case,case,new,new,"-","-",gu,gu,Ahmedabad,Ahmedabad,"v1.0.2","v1.0.2",4,"Epidemic in Ahmedabad: અમદાવાદમાં હાથીપગાના 4 કેસ પણ ડરવાની જરૂર નથી, municipal-corporation-health-department-checking-for-elephantiasis-cases-in-ahmedabad . અમદાવાદમાં કૉર્પોરેશનની આરોગ્ય વિભાગની ટીમે હાથીપગા રોગની ચકાસણી માટે 3,600 લોકોના ટેસ્ટ કર્યા હતા, જેમાંથી 4 વ્યક્તિ પોઝિટિવ આવતા તંત્ર દોડતું થયું છે. ત્યારે હવે આરોગ્ય વિભાગ આગામી સમયમાં વધુને વધુ ટેસ્ટ કરશે.","Epidemic in Ahmedabad: અમદાવાદમાં હાથીપગાના 4 કેસ પણ ડરવાની જરૂર નથી, municipal-corporation-health-department-checking-for-elephantiasis-cases-in-ahmedabad . અમદાવાદમાં કૉર્પોરેશનની આરોગ્ય વિભાગની ટીમે હાથીપગા રોગની ચકાસણી માટે 3,600 લોકોના ટેસ્ટ કર્યા હતા, જેમાંથી 4 વ્યક્તિ પોઝિટિવ આવતા તંત્ર દોડતું થયું છે. ત્યારે હવે આરોગ્ય વિભાગ આગામી સમયમાં વધુને વધુ ટેસ્ટ કરશે.","0.919","cc_news","cc_news",44,"There is no need to panic in Ahmedabad with 4 cases of elephant fever reported in the city, municipal corporation-corporation-health-department-check-ing-in-Ahmedabad. In Ahmedabad, a team from the health department of the corporation tested 3,600 people for the disease, out of which 4 tested positive. Now the health department will conduct more tests in the coming days.","There is no need to panic in Ahmedabad with 4 cases of elephant fever reported in the city, municipal corporation-corporation-health-department-check-ing-in-Ahmedabad. In Ahmedabad, a team from the health department of the corporation tested 3,600 people for the disease, out of which 4 tested positive. Now the health department will conduct more tests in the coming days.","https://www.etvbharat.com/gujarati/gujarat/state/ahmedabad/municipal-corporation-health-department-checking-for-elephantiasis-cases-in-ahmedabad/gj20230213200333922922049","https://www.etvbharat.com/gujarati/gujarat/state/ahmedabad/municipal-corporation-health-department-checking-for-elephantiasis-cases-in-ahmedabad/gj20230213200333922922049",cMUZTIYBjuOAFaZ2eKt4,"raw_event_data_index","-","-"
"Mystery Disease","Mystery Disease","Feb 13, 2023 @ 00:00:00.000","Feb 13, 2023 @ 13:49:01.000",case,case,total,total,"-","-",hi,hi,"Murwara Katni","Murwara Katni","v1.0.2","v1.0.2",3,"MP के Katni में फाइलेरिया की दवा के चलते 24 बच्चे बीमार,3 की हालत गंभीर, Katni जिला hospital में चल रहा इलाज, MP news . मध्यप्रदेश के कटनी समेत पूरे विंध्य में फाइलेरिया रोग का प्रकोप देखा जाता है। जिसके चलते शासन की ओर से बच्चों को फाइलेरिया की दवा दिए जाने का अभियान जारी है। ","MP के Katni में फाइलेरिया की दवा के चलते 24 बच्चे बीमार,3 की हालत गंभीर, Katni जिला hospital में चल रहा इलाज, MP news . मध्यप्रदेश के कटनी समेत पूरे विंध्य में फाइलेरिया रोग का प्रकोप देखा जाता है। जिसके चलते शासन की ओर से बच्चों को फाइलेरिया की दवा दिए जाने का अभियान जारी है। ","0.798",galerts,galerts,39,"In MP's Katni, 24 children are ill and 3 are in critical condition. Due to this, the government is running a campaign to provide filarial medicine to the children.","In MP's Katni, 24 children are ill and 3 are in critical condition. Due to this, the government is running a campaign to provide filarial medicine to the children.","https://thesootr.com/madhya-pradesh/24-children-ill-due-to-filariasis-medicine-in-katni-condition-of-two-is-serious/31393","https://thesootr.com/madhya-pradesh/24-children-ill-due-to-filariasis-medicine-in-katni-condition-of-two-is-serious/31393",lMXtSYYBjuOAFaZ2F6nB,"raw_event_data_index","-","-"
"Mystery Disease","Mystery Disease","Feb 13, 2023 @ 00:00:00.000","Feb 13, 2023 @ 13:49:01.000",case,case,total,total,"-","-",hi,hi,"Murwara Katni","Murwara Katni","v1.0.2","v1.0.2",3,"MP के Katni में फाइलेरिया की दवा के चलते 24 बच्चे बीमार,3 की हालत गंभीर, Katni जिला hospital में चल रहा इलाज, MP news . मध्यप्रदेश के कटनी समेत पूरे विंध्य में फाइलेरिया रोग का प्रकोप देखा जाता है। जिसके चलते शासन की ओर से बच्चों को फाइलेरिया की दवा दिए जाने का अभियान जारी है। ","MP के Katni में फाइलेरिया की दवा के चलते 24 बच्चे बीमार,3 की हालत गंभीर, Katni जिला hospital में चल रहा इलाज, MP news . मध्यप्रदेश के कटनी समेत पूरे विंध्य में फाइलेरिया रोग का प्रकोप देखा जाता है। जिसके चलते शासन की ओर से बच्चों को फाइलेरिया की दवा दिए जाने का अभियान जारी है। ","0.798",galerts,galerts,39,"In MP's Katni, 24 children are ill and 3 are in critical condition. Due to this, the government is running a campaign to provide filarial medicine to the children.","In MP's Katni, 24 children are ill and 3 are in critical condition. Due to this, the government is running a campaign to provide filarial medicine to the children.","https://thesootr.com/madhya-pradesh/24-children-ill-due-to-filariasis-medicine-in-katni-condition-of-two-is-serious/31393","https://thesootr.com/madhya-pradesh/24-children-ill-due-to-filariasis-medicine-in-katni-condition-of-two-is-serious/31393",k8XtSYYBjuOAFaZ2F6m6,"raw_event_data_index","-","-"
"Mystery Disease","Mystery Disease","Feb 13, 2023 @ 00:00:00.000","Feb 13, 2023 @ 13:49:01.000",case,case,total,total,"-","-",hi,hi,"Murwara Katni","Murwara Katni","v1.0.2","v1.0.2",3,"MP के Katni में फाइलेरिया की दवा के चलते 24 बच्चे बीमार,3 की हालत गंभीर, Katni जिला hospital में चल रहा इलाज, MP news . मध्यप्रदेश के कटनी समेत पूरे विंध्य में फाइलेरिया रोग का प्रकोप देखा जाता है। जिसके चलते शासन की ओर से बच्चों को फाइलेरिया की दवा दिए जाने का अभियान जारी है। ","MP के Katni में फाइलेरिया की दवा के चलते 24 बच्चे बीमार,3 की हालत गंभीर, Katni जिला hospital में चल रहा इलाज, MP news . मध्यप्रदेश के कटनी समेत पूरे विंध्य में फाइलेरिया रोग का प्रकोप देखा जाता है। जिसके चलते शासन की ओर से बच्चों को फाइलेरिया की दवा दिए जाने का अभियान जारी है। ","0.798",galerts,galerts,39,"In MP's Katni, 24 children are ill and 3 are in critical condition. Due to this, the government is running a campaign to provide filarial medicine to the children.","In MP's Katni, 24 children are ill and 3 are in critical condition. Due to this, the government is running a campaign to provide filarial medicine to the children.","https://thesootr.com/madhya-pradesh/24-children-ill-due-to-filariasis-medicine-in-katni-condition-of-two-is-serious/31393","https://thesootr.com/madhya-pradesh/24-children-ill-due-to-filariasis-medicine-in-katni-condition-of-two-is-serious/31393",oMXtSYYBjuOAFaZ2GKkY,"raw_event_data_index","-","-"
"Mystery Disease","Mystery Disease","Feb 13, 2023 @ 00:00:00.000","Feb 13, 2023 @ 13:49:01.000",case,case,total,total,"-","-",hi,hi,"Murwara Katni","Murwara Katni","v1.0.2","v1.0.2",3,"MP के Katni में फाइलेरिया की दवा के चलते 24 बच्चे बीमार,3 की हालत गंभीर, Katni जिला hospital में चल रहा इलाज, MP news . मध्यप्रदेश के कटनी समेत पूरे विंध्य में फाइलेरिया रोग का प्रकोप देखा जाता है। जिसके चलते शासन की ओर से बच्चों को फाइलेरिया की दवा दिए जाने का अभियान जारी है। ","MP के Katni में फाइलेरिया की दवा के चलते 24 बच्चे बीमार,3 की हालत गंभीर, Katni जिला hospital में चल रहा इलाज, MP news . मध्यप्रदेश के कटनी समेत पूरे विंध्य में फाइलेरिया रोग का प्रकोप देखा जाता है। जिसके चलते शासन की ओर से बच्चों को फाइलेरिया की दवा दिए जाने का अभियान जारी है। ","0.798",galerts,galerts,39,"In MP's Katni, 24 children are ill and 3 are in critical condition. Due to this, the government is running a campaign to provide filarial medicine to the children.","In MP's Katni, 24 children are ill and 3 are in critical condition. Due to this, the government is running a campaign to provide filarial medicine to the children.","https://thesootr.com/madhya-pradesh/24-children-ill-due-to-filariasis-medicine-in-katni-condition-of-two-is-serious/31393","https://thesootr.com/madhya-pradesh/24-children-ill-due-to-filariasis-medicine-in-katni-condition-of-two-is-serious/31393",n8XtSYYBjuOAFaZ2GKkR,"raw_event_data_index","-","-"
