Disease,"Disease.keyword",ExtractedDate,ExtractedDateTime,Incident,"Incident.keyword","Incident_Type","Incident_Type.keyword","Incident_type","Incident_type.keyword",Language,"Language.keyword",Location,"Location.keyword",MLPipelineVersion,"MLPipelineVersion.keyword",Number,OriginalArticle,"OriginalArticle.keyword",Score,Source,"Source.keyword",Start,TranslatedArticle,"TranslatedArticle.keyword",Url,"Url.keyword","_id","_index","_score","_type"
"skin kala - azar","skin kala - azar","Mar 13, 2023 @ 00:00:00.000","Mar 13, 2023 @ 12:35:58.000",death,death,new,new,"-","-",hi,hi,Muzaffarpur,Muzaffarpur,"v1.0.2","v1.0.2",4,"मुजफ्फरपुर: स्किन कालाजार के 4 मरीजों के आंखों की रोशनी जाने के बाद हरकत में आया स्वास्थ्य विभाग - muzaffarpur health department action after 4 skin kalazar patients lost their eyesight - Navbharat Times . Muzaffarpur News: बिहार के मुजफ्फरपुर में देर से ही सही स्वास्थ्य विभाग हरकत में आ गया है। स्किन कालाजार के 4 मरीजों के आंखों की रोशनी जाने के बाद स्वास्थ्य विभाग मामले की जांच में जुट गई है। एक साल बाद मरीजों को न्याय मिलने की आज जगी है।","मुजफ्फरपुर: स्किन कालाजार के 4 मरीजों के आंखों की रोशनी जाने के बाद हरकत में आया स्वास्थ्य विभाग - muzaffarpur health department action after 4 skin kalazar patients lost their eyesight - Navbharat Times . Muzaffarpur News: बिहार के मुजफ्फरपुर में देर से ही सही स्वास्थ्य विभाग हरकत में आ गया है। स्किन कालाजार के 4 मरीजों के आंखों की रोशनी जाने के बाद स्वास्थ्य विभाग मामले की जांच में जुट गई है। एक साल बाद मरीजों को न्याय मिलने की आज जगी है।","0.782",galerts,galerts,63,"Muzaffarpur: The health department has swung into action after four skin kalazar patients lost their eye sight in Muzaffarpur, Bihar. The Health Department has initiated an inquiry into the matter after 4 patients of skin Kala-azar lost their eyesight. A year later, the patients are awakened to get justice.","Muzaffarpur: The health department has swung into action after four skin kalazar patients lost their eye sight in Muzaffarpur, Bihar. The Health Department has initiated an inquiry into the matter after 4 patients of skin Kala-azar lost their eyesight. A year later, the patients are awakened to get justice.","https://navbharattimes.indiatimes.com/state/bihar/muzaffarpur/muzaffarpur-health-department-action-after-4-skin-kalazar-patients-lost-their-eyesight/articleshow/98583836.cms","https://navbharattimes.indiatimes.com/state/bihar/muzaffarpur/muzaffarpur-health-department-action-after-4-skin-kalazar-patients-lost-their-eyesight/articleshow/98583836.cms",ksbm2YYBjuOAFaZ2mM93,"raw_event_data_index","-","-"
"skin kala - azar","skin kala - azar","Mar 13, 2023 @ 00:00:00.000","Mar 13, 2023 @ 01:35:03.000",death,death,new,new,"-","-",hi,hi,Muzaffarpur,Muzaffarpur,"v1.0.2","v1.0.2",4,"मुजफ्फरपुर: स्किन कालाजार के 4 मरीजों के आंखों की रोशनी जाने के बाद हरकत में आया स्वास्थ्य विभाग - muzaffarpur health department action after 4 skin kalazar patients lost their eyesight - Navbharat Times | Muzaffarpur News: बिहार के मुजफ्फरपुर में देर से ही सही स्वास्थ्य विभाग हरकत में आ गया है। स्किन कालाजार के 4 मरीजों के आंखों की रोशनी जाने के बाद स्वास्थ्य विभाग मामले की जांच में जुट गई है। एक साल बाद मरीजों को न्याय मिलने की आज जगी है।","मुजफ्फरपुर: स्किन कालाजार के 4 मरीजों के आंखों की रोशनी जाने के बाद हरकत में आया स्वास्थ्य विभाग - muzaffarpur health department action after 4 skin kalazar patients lost their eyesight - Navbharat Times | Muzaffarpur News: बिहार के मुजफ्फरपुर में देर से ही सही स्वास्थ्य विभाग हरकत में आ गया है। स्किन कालाजार के 4 मरीजों के आंखों की रोशनी जाने के बाद स्वास्थ्य विभाग मामले की जांच में जुट गई है। एक साल बाद मरीजों को न्याय मिलने की आज जगी है।","0.826","cc_news","cc_news",63,"Muzaffarpur: The health department has swung into action after 4 skin kalazar patients lost their eyesight in Muzaffarpur, Bihar. The Health Department has initiated an inquiry into the matter after 4 patients of skin Kala-azar lost their eyesight. A year later, the patients are awakened to get justice.","Muzaffarpur: The health department has swung into action after 4 skin kalazar patients lost their eyesight in Muzaffarpur, Bihar. The Health Department has initiated an inquiry into the matter after 4 patients of skin Kala-azar lost their eyesight. A year later, the patients are awakened to get justice.","https://navbharattimes.indiatimes.com/state/bihar/muzaffarpur/muzaffarpur-health-department-action-after-4-skin-kalazar-patients-lost-their-eyesight/articleshow/98583836.cms","https://navbharattimes.indiatimes.com/state/bihar/muzaffarpur/muzaffarpur-health-department-action-after-4-skin-kalazar-patients-lost-their-eyesight/articleshow/98583836.cms",J8ap14YBjuOAFaZ2gs5f,"raw_event_data_index","-","-"
"loss of vision","loss of vision","Mar 12, 2023 @ 00:00:00.000","Mar 12, 2023 @ 22:35:03.000",case,case,new,new,"-","-",hi,hi,Muzaffarpur,Muzaffarpur,"v1.0.2","v1.0.2",4,"muzaffarpur news : स्किन कालाजार वाले चार मरीजों की आंखों की रोशनी कैसे गयी, होगी जांच, four patients lost their eyesight due to wrong medicine in muzaffarpur | मुजफ्फरपुर में करीब एक साल पहले स्किन कालाजार बीमारी से आंखों की रोशनी समाप्त होने मामले में जांच शुरू हो गई है सीएस ने एक टीम का गठन किया है टीम इसकी जांच कर अपनी रिपोर्ट सिविल सर्जन को सौंपेंगी जिले में फिलहाल स्किन कालाजार के 39 एक्टिव मरीज हैं","muzaffarpur news : स्किन कालाजार वाले चार मरीजों की आंखों की रोशनी कैसे गयी, होगी जांच, four patients lost their eyesight due to wrong medicine in muzaffarpur | मुजफ्फरपुर में करीब एक साल पहले स्किन कालाजार बीमारी से आंखों की रोशनी समाप्त होने मामले में जांच शुरू हो गई है सीएस ने एक टीम का गठन किया है टीम इसकी जांच कर अपनी रिपोर्ट सिविल सर्जन को सौंपेंगी जिले में फिलहाल स्किन कालाजार के 39 एक्टिव मरीज हैं","0.709","cc_news","cc_news",155,"Muzaffarpur: A team of four doctors has been constituted by the Chief Medical Officer (CS) of Muzaffarpur to investigate the loss of vision in the eyes of four patients of skin kala-azar in the district.","Muzaffarpur: A team of four doctors has been constituted by the Chief Medical Officer (CS) of Muzaffarpur to investigate the loss of vision in the eyes of four patients of skin kala-azar in the district.","https://www.etvbharat.com/hindi/bihar/state/muzaffarpur/four-patients-lost-their-eyesight-due-to-wrong-medicine-in-muzaffarpur/bh20230312205001833833187","https://www.etvbharat.com/hindi/bihar/state/muzaffarpur/four-patients-lost-their-eyesight-due-to-wrong-medicine-in-muzaffarpur/bh20230312205001833833187",mMYW14YBjuOAFaZ2FM06,"raw_event_data_index","-","-"
"kala azar","kala azar","Jan 5, 2023 @ 00:00:00.000","Jan 5, 2023 @ 19:11:39.000",case,case,new,new,"-","-",hi,hi,India,India,"v1.0.2","v1.0.2",834,"भारत से ‘कालाजार रोग’ का खात्मा! 2007 के बाद से मामलों में 98.7% की कमी आई है। - Trendswire . काला अजार: 2007 के बाद से, भारत में कालाजार के मामलों में 98.7% की कमी देखी गई है। केंद्रीय स्वास्थ्य मंत्रालय ने यह जानकारी दी है। मंत्रालय ने कहा कि देश में साल 2007 में काला अजार के 44,533 मामले सामने आए थे, जबकि पिछले साल यानी 2022 में सिर्फ 834 मामले देखे गए थे.","भारत से ‘कालाजार रोग’ का खात्मा! 2007 के बाद से मामलों में 98.7% की कमी आई है। - Trendswire . काला अजार: 2007 के बाद से, भारत में कालाजार के मामलों में 98.7% की कमी देखी गई है। केंद्रीय स्वास्थ्य मंत्रालय ने यह जानकारी दी है। मंत्रालय ने कहा कि देश में साल 2007 में काला अजार के 44,533 मामले सामने आए थे, जबकि पिछले साल यानी 2022 में सिर्फ 834 मामले देखे गए थे.","0.21",galerts,galerts,300,"Elimination of Kala Azar Disease in India Cases have declined by 98.7% since 2007. Kala Azar: Since 2007, there has been a 98.7% reduction in Kala Azar cases in India. This information was provided by health authorities. The number of cases of Kala Azar in the country was 44,533 in 2007, while only 834 cases were reported last year (2022).","Elimination of Kala Azar Disease in India Cases have declined by 98.7% since 2007. Kala Azar: Since 2007, there has been a 98.7% reduction in Kala Azar cases in India. This information was provided by health authorities. The number of cases of Kala Azar in the country was 44,533 in 2007, while only 834 cases were reported last year (2022).","https://trendswire.in/lifestyle/%E0%A4%AD%E0%A4%BE%E0%A4%B0%E0%A4%A4-%E0%A4%B8%E0%A5%87-%E0%A4%95%E0%A4%BE%E0%A4%B2%E0%A4%BE%E0%A4%9C%E0%A4%BE%E0%A4%B0-%E0%A4%B0%E0%A5%8B%E0%A4%97-%E0%A4%95%E0%A4%BE-%E0%A4%96%E0%A4%BE%E0%A4%A4/","https://trendswire.in/lifestyle/%E0%A4%AD%E0%A4%BE%E0%A4%B0%E0%A4%A4-%E0%A4%B8%E0%A5%87-%E0%A4%95%E0%A4%BE%E0%A4%B2%E0%A4%BE%E0%A4%9C%E0%A4%BE%E0%A4%B0-%E0%A4%B0%E0%A5%8B%E0%A4%97-%E0%A4%95%E0%A4%BE-%E0%A4%96%E0%A4%BE%E0%A4%A4/",e8VQgoUBjuOAFaZ2rQAM,"raw_event_data_index","-","-"
"kala azar","kala azar","Jan 5, 2023 @ 00:00:00.000","Jan 5, 2023 @ 16:30:04.000",case,case,total,total,"-","-",hi,hi,"New Delhi","New Delhi","v1.0.2","v1.0.2",834,"भारत में 2007 से कालाजार के मामलों में 98.7 प्रतिशत की कमी: स्वास्थ्य मंत्रालय – ThePrint Hindi . नयी दिल्ली, चार जनवरी (भाषा) केंद्रीय स्वास्थ्य मंत्रालय ने बुधवार को कहा कि भारत में कालाजार के मामलों में 2007 से 98.7 प्रतिशत की गिरावट आयी है। मंत्रालय के अनुसार 2007 में देश में कालाजार के 44,533 मामले सामने आये थे जबकि 2022 में इसके मात्र 834 मामले सामने आये। इसमें कहा गया है कि […]","भारत में 2007 से कालाजार के मामलों में 98.7 प्रतिशत की कमी: स्वास्थ्य मंत्रालय – ThePrint Hindi . नयी दिल्ली, चार जनवरी (भाषा) केंद्रीय स्वास्थ्य मंत्रालय ने बुधवार को कहा कि भारत में कालाजार के मामलों में 2007 से 98.7 प्रतिशत की गिरावट आयी है। मंत्रालय के अनुसार 2007 में देश में कालाजार के 44,533 मामले सामने आये थे जबकि 2022 में इसके मात्र 834 मामले सामने आये। इसमें कहा गया है कि […]","0.703",galerts,galerts,262,"New Delhi, Jan 4 () The Union Health Ministry on Wednesday said there has been a 98.7 per cent decline in the number of cases of Kala Azar in India since 2007 According to the Ministry, the number of cases of Kala Azar in the country was 44,533 in 2007 and only 834 cases were reported in 2022. It states that []","New Delhi, Jan 4 () The Union Health Ministry on Wednesday said there has been a 98.7 per cent decline in the number of cases of Kala Azar in India since 2007 According to the Ministry, the number of cases of Kala Azar in the country was 44,533 in 2007 and only 834 cases were reported in 2022. It states that []","https://hindi.theprint.in/india/kala-azar-cases-reduced-by-98-7-percent-in-india-since-2007-health-ministry/450671/","https://hindi.theprint.in/india/kala-azar-cases-reduced-by-98-7-percent-in-india-since-2007-health-ministry/450671/","e8TagYUBjuOAFaZ27f-U","raw_event_data_index","-","-"
"kala azar","kala azar","Jan 5, 2023 @ 00:00:00.000","Jan 5, 2023 @ 10:26:47.000",case,case,total,total,"-","-",hi,hi,"New Delhi","New Delhi","v1.0.2","v1.0.2",834,"भारत में 2007 से कालाजार के मामलों में 98.7 प्रतिशत की कमी: स्वास्थ्य मंत्रालय – ThePrint Hindi . नयी दिल्ली, चार जनवरी (भाषा) केंद्रीय स्वास्थ्य मंत्रालय ने बुधवार को कहा कि भारत में कालाजार के मामलों में 2007 से 98.7 प्रतिशत की गिरावट आयी है। मंत्रालय के अनुसार 2007 में देश में कालाजार के 44,533 मामले सामने आये थे जबकि 2022 में इसके मात्र 834 मामले सामने आये। इसमें कहा गया है कि […]","भारत में 2007 से कालाजार के मामलों में 98.7 प्रतिशत की कमी: स्वास्थ्य मंत्रालय – ThePrint Hindi . नयी दिल्ली, चार जनवरी (भाषा) केंद्रीय स्वास्थ्य मंत्रालय ने बुधवार को कहा कि भारत में कालाजार के मामलों में 2007 से 98.7 प्रतिशत की गिरावट आयी है। मंत्रालय के अनुसार 2007 में देश में कालाजार के 44,533 मामले सामने आये थे जबकि 2022 में इसके मात्र 834 मामले सामने आये। इसमें कहा गया है कि […]","0.703",galerts,galerts,262,"New Delhi, Jan 4 () The Union Health Ministry on Wednesday said there has been a 98.7 per cent decline in the number of cases of Kala Azar in India since 2007 According to the Ministry, the number of cases of Kala Azar in the country was 44,533 in 2007 and only 834 cases were reported in 2022. It states that []","New Delhi, Jan 4 () The Union Health Ministry on Wednesday said there has been a 98.7 per cent decline in the number of cases of Kala Azar in India since 2007 According to the Ministry, the number of cases of Kala Azar in the country was 44,533 in 2007 and only 834 cases were reported in 2022. It states that []","https://hindi.theprint.in/india/kala-azar-cases-reduced-by-98-7-percent-in-india-since-2007-health-ministry/450671/","https://hindi.theprint.in/india/kala-azar-cases-reduced-by-98-7-percent-in-india-since-2007-health-ministry/450671/","7cR_gIUBjuOAFaZ26fx6","raw_event_data_index","-","-"
"kala - azar","kala - azar","Jan 4, 2023 @ 00:00:00.000","Jan 4, 2023 @ 21:35:12.000",case,case,new,new,"-","-",en,en,India,India,"v1.0.2","v1.0.2",834,"98.7% decline in Kala-azar cases since 2007 in India: Health Ministry | Business Standard News . There has been a 98.7 per cent decline in cases of Kala-azar from 44,533 in 2007 to 834 in 2022 in India, the Union Health Ministry said on Wednesday.","98.7% decline in Kala-azar cases since 2007 in India: Health Ministry | Business Standard News . There has been a 98.7 per cent decline in cases of Kala-azar from 44,533 in 2007 to 834 in 2022 in India, the Union Health Ministry said on Wednesday.","0.229","cc_news","cc_news",181,"98.7% decline in Kala-azar cases since 2007 in India: Health Ministry | Business Standard News . There has been a 98.7 per cent decline in cases of Kala-azar from 44,533 in 2007 to 834 in 2022 in India, the Union Health Ministry said on Wednesday.","98.7% decline in Kala-azar cases since 2007 in India: Health Ministry | Business Standard News . There has been a 98.7 per cent decline in cases of Kala-azar from 44,533 in 2007 to 834 in 2022 in India, the Union Health Ministry said on Wednesday.","https://www.business-standard.com/article/current-affairs/98-7-decline-in-kala-azar-cases-since-2007-in-india-health-ministry-123010401036_1.html","https://www.business-standard.com/article/current-affairs/98-7-decline-in-kala-azar-cases-since-2007-in-india-health-ministry-123010401036_1.html","4MTXfYUBjuOAFaZ28_qC","raw_event_data_index","-","-"
filaria,filaria,"Dec 26, 2022 @ 00:00:00.000","Dec 26, 2022 @ 12:48:59.000",case,case,total,total,"-","-",hi,hi,UNKNOWN,UNKNOWN,"v1.0.2","v1.0.2","1,532","जिले में फाइलेरिया मरीजों की संख्या 1,532 | The number of filaria patients in the district is 1,532 - Dainik Bhaskar . फाइलेरिया नियंत्रण तथा कालाजार को लेकर आयोजित हुआ उन्मुखीकरण कार्यशाला | dainikbhaskar","जिले में फाइलेरिया मरीजों की संख्या 1,532 | The number of filaria patients in the district is 1,532 - Dainik Bhaskar . फाइलेरिया नियंत्रण तथा कालाजार को लेकर आयोजित हुआ उन्मुखीकरण कार्यशाला | dainikbhaskar","0.448",galerts,galerts,50,"The number of filaria patients in the district is 1,532. Orientation workshop on Filariasis Control and Kala Azar held","The number of filaria patients in the district is 1,532. Orientation workshop on Filariasis Control and Kala Azar held","https://www.bhaskar.com/local/bihar/saharsa/news/the-number-of-filaria-patients-in-the-district-is-1532-130723861.html","https://www.bhaskar.com/local/bihar/saharsa/news/the-number-of-filaria-patients-in-the-district-is-1532-130723861.html",ZsRuTYUBjuOAFaZ2CMK6,"raw_event_data_index","-","-"
leishmaniasis,leishmaniasis,"Dec 3, 2022 @ 00:00:00.000","Dec 3, 2022 @ 18:35:04.000",death,death,new,new,"-","-",kn,kn,Mysuru,Mysuru,"v1.0.2","v1.0.2",86,"ಚರ್ಮ ಗಂಟು ರೋಗ: ಮೈಸೂರು ಜಿಲ್ಲೆಯಲ್ಲಿ 86 ರಾಸು ಸಾವು | Prajavani . ಮೈಸೂರು ಜಿಲ್ಲೆಯಲ್ಲೂ ಚರ್ಮ ಗಂಟು ರೋಗ ಕಾಣಿಸಿಕೊಂಡಿದ್ದು, 86 ರಾಸುಗಳು ಮೃತಪಟ್ಟಿವೆ ಎಂದು ‍ಪಶುಸಂಗೋಪನಾ ಇಲಾಖೆಯ ಉಪ ನಿರ್ದೇಶಕ ಡಾ.ಕೆ.ಷಡಕ್ಷರಮೂರ್ತಿ ತಿಳಿಸಿದರು.","ಚರ್ಮ ಗಂಟು ರೋಗ: ಮೈಸೂರು ಜಿಲ್ಲೆಯಲ್ಲಿ 86 ರಾಸು ಸಾವು | Prajavani . ಮೈಸೂರು ಜಿಲ್ಲೆಯಲ್ಲೂ ಚರ್ಮ ಗಂಟು ರೋಗ ಕಾಣಿಸಿಕೊಂಡಿದ್ದು, 86 ರಾಸುಗಳು ಮೃತಪಟ್ಟಿವೆ ಎಂದು ‍ಪಶುಸಂಗೋಪನಾ ಇಲಾಖೆಯ ಉಪ ನಿರ್ದೇಶಕ ಡಾ.ಕೆ.ಷಡಕ್ಷರಮೂರ್ತಿ ತಿಳಿಸಿದರು.","0.421","cc_news","cc_news",24,"Mysorean Leishmaniasis: 86 rabbits die in Mysuru district Dr K Shadaksharamurthy, Deputy Director, Animal Husbandry Department, said that 86 cattle have died due to the disease in Mysuru district.","Mysorean Leishmaniasis: 86 rabbits die in Mysuru district Dr K Shadaksharamurthy, Deputy Director, Animal Husbandry Department, said that 86 cattle have died due to the disease in Mysuru district.","https://www.prajavani.net/district/mysuru/lumpy-skin-disease-kills-86-bovines-in-mysore-district-994050.html","https://www.prajavani.net/district/mysuru/lumpy-skin-disease-kills-86-bovines-in-mysore-district-994050.html",88Rm2IQBjuOAFaZ2JkrY,"raw_event_data_index","-","-"
"visceral leishmaniasis","visceral leishmaniasis","Nov 1, 2022 @ 00:00:00.000","Nov 1, 2022 @ 14:53:56.000",death,death,new,new,"-","-",en,en,UNKNOWN,UNKNOWN,v1,v1,10,"Kenya: Update on visceral leishmaniasis outbreak - Outbreak News Today . NewsDesk @bactiman63 The visceral leishmaniasis, or kala-azar outbreak in Kenya has been continuous since 2020. A total of 2037 visceral leishmaniasis (suspected and confirmed) cases have been reported in Marsabit, Garissa, Kitui, Baringo, West Pokot, Mandera, ,Wajir and Isiolo Counties with a total of 10 deaths reported. The outbreak is active in four counties, West Pokot […]","Kenya: Update on visceral leishmaniasis outbreak - Outbreak News Today . NewsDesk @bactiman63 The visceral leishmaniasis, or kala-azar outbreak in Kenya has been continuous since 2020. A total of 2037 visceral leishmaniasis (suspected and confirmed) cases have been reported in Marsabit, Garissa, Kitui, Baringo, West Pokot, Mandera, ,Wajir and Isiolo Counties with a total of 10 deaths reported. The outbreak is active in four counties, West Pokot […]","0.506",galerts,galerts,377,"Kenya: Update on visceral leishmaniasis outbreak - Outbreak News Today . NewsDesk @bactiman63 The visceral leishmaniasis, or kala-azar outbreak in Kenya has been continuous since 2020. A total of 2037 visceral leishmaniasis (suspected and confirmed) cases have been reported in Marsabit, Garissa, Kitui, Baringo, West Pokot, Mandera, ,Wajir and Isiolo Counties with a total of 10 deaths reported. The outbreak is active in four counties, West Pokot […]","Kenya: Update on visceral leishmaniasis outbreak - Outbreak News Today . NewsDesk @bactiman63 The visceral leishmaniasis, or kala-azar outbreak in Kenya has been continuous since 2020. A total of 2037 visceral leishmaniasis (suspected and confirmed) cases have been reported in Marsabit, Garissa, Kitui, Baringo, West Pokot, Mandera, ,Wajir and Isiolo Counties with a total of 10 deaths reported. The outbreak is active in four counties, West Pokot […]","http://outbreaknewstoday.com/kenya-update-on-visceral-leishmaniasis-outbreak-55398/","http://outbreaknewstoday.com/kenya-update-on-visceral-leishmaniasis-outbreak-55398/",tcOfMoQBjuOAFaZ2N5qU,"raw_event_data_index","-","-"
